restart_frequency, epsilon, x_error(%), f_error(%), iterations
10, 1e-14, 4.08e-04±1.65e-04, 4.49e-03±3.01e-03, 3.11e+01±6.47e+00
10, 1e-13, 4.08e-04±1.65e-04, 4.49e-03±3.01e-03, 3.11e+01±6.47e+00
10, 1e-12, 4.08e-04±1.65e-04, 4.49e-03±3.01e-03, 3.11e+01±6.47e+00
10, 1e-11, 4.08e-04±1.65e-04, 4.49e-03±3.01e-03, 3.11e+01±6.46e+00
10, 9.999999999999999e-11, 4.08e-04±1.65e-04, 4.49e-03±3.01e-03, 3.11e+01±6.46e+00
10, 9.999999999999999e-10, 4.21e-04±1.69e-04, 4.77e-03±3.19e-03, 3.08e+01±6.39e+00
10, 9.999999999999999e-09, 4.48e-04±1.73e-04, 5.34e-03±3.31e-03, 2.94e+01±5.55e+00
10, 9.999999999999998e-08, 5.91e-04±2.31e-04, 9.47e-03±6.25e-03, 2.61e+01±5.57e+00
10, 9.999999999999997e-07, 8.40e-04±4.07e-04, 2.10e-02±1.70e-02, 2.24e+01±4.22e+00
10, 9.999999999999997e-06, 1.05e-03±5.57e-04, 3.55e-02±3.69e-02, 2.07e+01±4.23e+00
