restart_frequency, epsilon, x_error(%), f_error(%), iterations
32, 1.14e-14, 3.17e-01±4.29e-01, 3.42e+00±5.62e+00, 3.99e+01±8.15e+01
40, 1.14e-14, 3.30e-01±4.93e-01, 3.58e+00±6.10e+00, 3.80e+01±5.61e+01
46, 1.14e-14, 3.09e-01±5.28e-01, 3.23e+00±6.03e+00, 4.30e+01±9.12e+01
13, 1.14e-14, 4.78e-01±6.54e-01, 5.25e+00±7.23e+00, 4.36e+01±9.51e+01
11, 1.14e-14, 4.61e-01±5.61e-01, 5.13e+00±7.00e+00, 3.79e+01±6.20e+01
29, 1.14e-14, 3.44e-01±4.37e-01, 3.80e+00±5.78e+00, 4.10e+01±7.59e+01
24, 1.14e-14, 2.94e-01±4.10e-01, 3.11e+00±5.40e+00, 4.25e+01±7.63e+01
42, 1.14e-14, 2.79e-01±3.86e-01, 3.09e+00±5.19e+00, 4.40e+01±8.55e+01
18, 1.14e-14, 4.51e-01±7.02e-01, 4.81e+00±7.15e+00, 3.85e+01±7.28e+01
22, 1.14e-14, 3.83e-01±5.92e-01, 4.15e+00±6.79e+00, 4.03e+01±7.20e+01
31, 1.14e-14, 3.80e-01±5.28e-01, 4.18e+00±6.68e+00, 4.24e+01±9.87e+01
36, 1.14e-14, 3.05e-01±4.17e-01, 3.32e+00±5.55e+00, 4.06e+01±7.71e+01
39, 1.14e-14, 2.83e-01±3.96e-01, 3.03e+00±5.26e+00, 3.65e+01±4.60e+01
8, 1.14e-14, 5.05e-01±6.77e-01, 5.45e+00±7.50e+00, 3.22e+01±5.04e+01
50, 1.14e-14, 3.04e-01±5.20e-01, 3.21e+00±5.91e+00, 4.20e+01±1.07e+02
31, 1.14e-14, 3.80e-01±5.28e-01, 4.18e+00±6.68e+00, 4.24e+01±9.87e+01
4, 1.14e-14, 7.98e-01±9.37e-01, 8.50e+00±9.31e+00, 3.12e+01±5.53e+01
5, 1.14e-14, 6.15e-01±7.28e-01, 6.78e+00±8.04e+00, 3.34e+01±7.13e+01
23, 1.14e-14, 3.71e-01±5.27e-01, 4.08e+00±6.43e+00, 4.07e+01±7.46e+01
29, 1.14e-14, 3.44e-01±4.37e-01, 3.80e+00±5.78e+00, 4.10e+01±7.59e+01
10, 1.14e-14, 3.52e-01±4.83e-01, 3.63e+00±5.79e+00, 3.32e+01±4.78e+01
35, 1.14e-14, 2.71e-01±3.73e-01, 2.87e+00±4.92e+00, 4.08e+01±8.79e+01
21, 1.14e-14, 3.58e-01±5.47e-01, 3.75e+00±6.27e+00, 4.05e+01±1.01e+02
34, 1.14e-14, 2.57e-01±3.63e-01, 2.67e+00±4.81e+00, 4.24e+01±7.88e+01
44, 1.14e-14, 3.28e-01±5.34e-01, 3.48e+00±6.12e+00, 4.20e+01±8.40e+01
25, 1.14e-14, 3.58e-01±5.14e-01, 3.94e+00±6.30e+00, 4.15e+01±1.02e+02
32, 1.14e-14, 3.17e-01±4.29e-01, 3.42e+00±5.62e+00, 3.99e+01±8.15e+01
13, 1.14e-14, 4.78e-01±6.54e-01, 5.25e+00±7.23e+00, 4.36e+01±9.51e+01
44, 1.14e-14, 3.28e-01±5.34e-01, 3.48e+00±6.12e+00, 4.20e+01±8.40e+01
34, 1.14e-14, 2.57e-01±3.63e-01, 2.67e+00±4.81e+00, 4.24e+01±7.88e+01
49, 1.14e-14, 3.22e-01±5.40e-01, 3.43e+00±6.21e+00, 3.71e+01±5.54e+01
2, 1.14e-14, 1.60e+00±1.64e+00, 1.52e+01±1.33e+01, 2.57e+01±3.65e+01
9, 1.14e-14, 5.99e-01±8.19e-01, 7.32e+00±1.07e+01, 3.85e+01±8.20e+01
34, 1.14e-14, 2.57e-01±3.63e-01, 2.67e+00±4.81e+00, 4.24e+01±7.88e+01
46, 1.14e-14, 3.09e-01±5.28e-01, 3.23e+00±6.03e+00, 4.30e+01±9.12e+01
14, 1.14e-14, 4.46e-01±5.01e-01, 5.12e+00±6.42e+00, 3.71e+01±7.36e+01
33, 1.14e-14, 3.12e-01±4.29e-01, 3.36e+00±5.70e+00, 4.11e+01±6.54e+01
43, 1.14e-14, 3.58e-01±5.73e-01, 3.81e+00±6.49e+00, 3.75e+01±4.93e+01
25, 1.14e-14, 3.58e-01±5.14e-01, 3.94e+00±6.30e+00, 4.15e+01±1.02e+02
42, 1.14e-14, 2.79e-01±3.86e-01, 3.09e+00±5.19e+00, 4.40e+01±8.55e+01
47, 1.14e-14, 3.09e-01±5.31e-01, 3.24e+00±6.04e+00, 4.17e+01±9.90e+01
48, 1.14e-14, 3.19e-01±5.35e-01, 3.36e+00±6.14e+00, 3.64e+01±4.37e+01
17, 1.14e-14, 3.97e-01±4.64e-01, 4.58e+00±6.11e+00, 3.73e+01±6.89e+01
7, 1.14e-14, 5.60e-01±8.94e-01, 5.72e+00±8.77e+00, 3.91e+01±1.01e+02
6, 1.14e-14, 6.19e-01±7.99e-01, 7.40e+00±1.11e+01, 3.38e+01±7.70e+01
42, 1.14e-14, 2.79e-01±3.86e-01, 3.09e+00±5.19e+00, 4.40e+01±8.55e+01
43, 1.14e-14, 3.58e-01±5.73e-01, 3.81e+00±6.49e+00, 3.75e+01±4.93e+01
33, 1.14e-14, 3.12e-01±4.29e-01, 3.36e+00±5.70e+00, 4.11e+01±6.54e+01
34, 1.14e-14, 2.57e-01±3.63e-01, 2.67e+00±4.81e+00, 4.24e+01±7.88e+01
16, 1.14e-14, 3.81e-01±5.41e-01, 4.14e+00±6.53e+00, 4.24e+01±8.20e+01
